event_id,title,description,dept,tags,club_id,event_type,date,location,popularity_score,total_registered,created_at
133,Web Development Workshop,"An engaging event focused on IoT, Automation organized by Club_5.",Computer Science,"IoT, Automation",5,Seminar,22-11-2025,CSE Hall,0.95,66,26-08-2025 00:00
134,Networking Hackathon,"An engaging event focused on Power Systems, 3D Printing, Machine Learning, Networking organized by Club_10.",Computer Science,"Power Systems, 3D Printing, Machine Learning, Networking",10,Exhibition,02-11-2025,Auditorium,0.75,66,16-08-2025 00:00
135,Networking Summit,"An engaging event focused on Web Development, Automation, Power Systems organized by Club_7.",Electronics,"Web Development, Automation, Power Systems",7,Seminar,24-11-2025,ECE Lab,0.61,74,12-08-2025 00:00
136,3D Printing Expo,"An engaging event focused on Cybersecurity, Automation, AI organized by Club_8.",Electrical,"Cybersecurity, Automation, AI",8,Competition,29-12-2025,Mechanical Block,0.97,182,04-09-2025 00:00
137,IoT Challenge,"An engaging event focused on Cybersecurity, Networking organized by Club_3.",Civil,"Cybersecurity, Networking",3,Exhibition,17-11-2025,Auditorium,0.91,30,11-09-2025 00:00
138,Cybersecurity Hackathon,"An engaging event focused on Networking, AI, Power Systems, Sustainability organized by Club_4.",Civil,"Networking, AI, Power Systems, Sustainability",4,Workshop,19-11-2025,Civil Seminar Hall,0.65,205,27-09-2025 00:00
139,Cybersecurity Workshop,"An engaging event focused on Embedded Systems, AI, Web Development organized by Club_5.",Information Technology,"Embedded Systems, AI, Web Development",5,Competition,31-10-2025,Main Hall,0.65,102,28-09-2025 00:00
140,Web Development Challenge,"An engaging event focused on Embedded Systems, Networking, AI, Cybersecurity organized by Club_2.",Electronics,"Embedded Systems, Networking, AI, Cybersecurity",2,Competition,30-11-2025,Auditorium,0.87,190,15-09-2025 00:00
141,Automation Hackathon,"An engaging event focused on Cybersecurity, 3D Printing, Machine Learning, IoT organized by Club_7.",Information Technology,"Cybersecurity, 3D Printing, Machine Learning, IoT",7,Workshop,11-11-2025,Main Hall,0.73,34,18-09-2025 00:00
142,AI Challenge,"An engaging event focused on Sustainability, CAD organized by Club_3.",Civil,"Sustainability, CAD",3,Workshop,26-10-2025,Auditorium,0.81,180,06-09-2025 00:00
143,Web Development Hackathon,"An engaging event focused on 3D Printing, Power Systems organized by Club_3.",Information Technology,"3D Printing, Power Systems",3,Competition,27-12-2025,Main Hall,0.71,183,29-08-2025 00:00
144,Networking Expo,"An engaging event focused on Robotics, Sustainability, Automation organized by Club_6.",Information Technology,"Robotics, Sustainability, Automation",6,Competition,26-10-2025,Mechanical Block,0.54,208,12-08-2025 00:00
145,Sustainability Hackathon,"An engaging event focused on AI, Web Development organized by Club_9.",Mechanical,"AI, Web Development",9,Seminar,20-12-2025,ECE Lab,0.61,65,30-08-2025 00:00
146,Embedded Systems Hackathon,"An engaging event focused on AI, Embedded Systems organized by Club_10.",Civil,"AI, Embedded Systems",10,Exhibition,03-11-2025,Auditorium,0.57,208,11-08-2025 00:00
147,Machine Learning Summit,"An engaging event focused on 3D Printing, Embedded Systems, CAD, Sustainability organized by Club_8.",Computer Science,"3D Printing, Embedded Systems, CAD, Sustainability",8,Competition,27-10-2025,Mechanical Block,0.6,156,19-08-2025 00:00
148,Web Development Expo,"An engaging event focused on Web Development, Cloud, Automation organized by Club_4.",Information Technology,"Web Development, Cloud, Automation",4,Seminar,26-12-2025,Auditorium,0.59,112,27-08-2025 00:00
149,IoT Hackathon,"An engaging event focused on Cloud, Automation, CAD organized by Club_4.",Electronics,"Cloud, Automation, CAD",4,Competition,27-12-2025,CSE Hall,0.82,63,01-08-2025 00:00
150,Power Systems Hackathon,"An engaging event focused on Embedded Systems, Sustainability, Cloud, Web Development organized by Club_7.",Electronics,"Embedded Systems, Sustainability, Cloud, Web Development",7,Hackathon,02-11-2025,CSE Hall,0.54,50,04-08-2025 00:00
151,AI Expo,"An engaging event focused on Automation, Sustainability, Web Development organized by Club_1.",Electrical,"Automation, Sustainability, Web Development",1,Hackathon,04-12-2025,CSE Hall,0.81,174,26-08-2025 00:00
152,Robotics Hackathon,"An engaging event focused on Automation, Robotics organized by Club_5.",Mechanical,"Automation, Robotics",5,Workshop,03-12-2025,ECE Lab,0.97,259,09-08-2025 00:00
153,AI Summit,"An engaging event focused on Embedded Systems, Robotics, Cybersecurity, Machine Learning organized by Club_6.",Civil,"Embedded Systems, Robotics, Cybersecurity, Machine Learning",6,Hackathon,03-12-2025,Mechanical Block,0.94,163,17-09-2025 00:00
154,IoT Challenge,"An engaging event focused on Automation, Networking, Cybersecurity organized by Club_9.",Electronics,"Automation, Networking, Cybersecurity",9,Seminar,22-10-2025,Civil Seminar Hall,0.66,271,18-09-2025 00:00
155,AI Summit,"An engaging event focused on Networking, CAD, AI, Cloud organized by Club_3.",Civil,"Networking, CAD, AI, Cloud",3,Competition,24-10-2025,Mechanical Block,0.52,153,11-08-2025 00:00
156,CAD Challenge,"An engaging event focused on AI, CAD, IoT organized by Club_9.",Computer Science,"AI, CAD, IoT",9,Hackathon,03-12-2025,Auditorium,0.56,95,08-08-2025 00:00
157,Web Development Expo,"An engaging event focused on Robotics, Web Development, Power Systems organized by Club_9.",Information Technology,"Robotics, Web Development, Power Systems",9,Workshop,12-12-2025,Civil Seminar Hall,0.95,128,07-09-2025 00:00
158,Networking Challenge,"An engaging event focused on Embedded Systems, Machine Learning organized by Club_4.",Mechanical,"Embedded Systems, Machine Learning",4,Hackathon,26-12-2025,Main Hall,0.55,188,02-08-2025 00:00
159,Machine Learning Expo,"An engaging event focused on Embedded Systems, IoT organized by Club_10.",Civil,"Embedded Systems, IoT",10,Competition,20-10-2025,Mechanical Block,0.51,255,23-09-2025 00:00
160,AI Hackathon,"An engaging event focused on Automation, Sustainability, AI organized by Club_6.",Civil,"Automation, Sustainability, AI",6,Workshop,27-11-2025,Main Hall,0.66,86,14-08-2025 00:00
161,3D Printing Hackathon,"An engaging event focused on Networking, AI, Power Systems organized by Club_2.",Electronics,"Networking, AI, Power Systems",2,Seminar,18-11-2025,Mechanical Block,0.55,150,12-08-2025 00:00
162,Embedded Systems Challenge,"An engaging event focused on Web Development, Cloud organized by Club_3.",Computer Science,"Web Development, Cloud",3,Hackathon,06-11-2025,Mechanical Block,0.82,98,08-08-2025 00:00
163,IoT Workshop,"An engaging event focused on Networking, Cybersecurity, Sustainability, Automation organized by Club_3.",Electrical,"Networking, Cybersecurity, Sustainability, Automation",3,Competition,17-11-2025,Mechanical Block,0.76,270,29-08-2025 00:00
164,Automation Summit,"An engaging event focused on Automation, Embedded Systems, Machine Learning, Networking organized by Club_6.",Electronics,"Automation, Embedded Systems, Machine Learning, Networking",6,Exhibition,25-11-2025,ECE Lab,0.82,67,03-08-2025 00:00
165,3D Printing Hackathon,"An engaging event focused on Cloud, Sustainability, Networking, Robotics organized by Club_8.",Electrical,"Cloud, Sustainability, Networking, Robotics",8,Competition,11-10-2025,ECE Lab,0.65,243,06-08-2025 00:00
166,3D Printing Challenge,"An engaging event focused on Sustainability, Cybersecurity organized by Club_4.",Information Technology,"Sustainability, Cybersecurity",4,Workshop,07-11-2025,Civil Seminar Hall,0.78,59,28-09-2025 00:00
167,Web Development Expo,"An engaging event focused on Embedded Systems, Web Development, Machine Learning, CAD organized by Club_10.",Computer Science,"Embedded Systems, Web Development, Machine Learning, CAD",10,Exhibition,15-11-2025,Auditorium,0.63,61,19-09-2025 00:00
168,AI Workshop,"An engaging event focused on Sustainability, CAD, Robotics, Power Systems organized by Club_7.",Computer Science,"Sustainability, CAD, Robotics, Power Systems",7,Exhibition,23-11-2025,Main Hall,0.94,172,21-08-2025 00:00
169,Cloud Summit,"An engaging event focused on CAD, Automation, Cybersecurity, IoT organized by Club_3.",Electrical,"CAD, Automation, Cybersecurity, IoT",3,Workshop,11-10-2025,Mechanical Block,0.87,152,25-09-2025 00:00
170,AI Summit,"An engaging event focused on AI, Embedded Systems organized by Club_2.",Mechanical,"AI, Embedded Systems",2,Exhibition,23-12-2025,Main Hall,0.74,227,25-09-2025 00:00
171,Networking Expo,"An engaging event focused on Automation, Web Development, IoT organized by Club_7.",Electrical,"Automation, Web Development, IoT",7,Workshop,12-10-2025,Auditorium,0.56,27,13-08-2025 00:00
172,CAD Summit,"An engaging event focused on Web Development, AI organized by Club_4.",Civil,"Web Development, AI",4,Workshop,23-12-2025,ECE Lab,0.62,295,13-08-2025 00:00
173,Machine Learning Summit,"An engaging event focused on CAD, Embedded Systems organized by Club_1.",Electrical,"CAD, Embedded Systems",1,Competition,20-10-2025,Auditorium,0.87,247,01-09-2025 00:00
174,AI Expo,"An engaging event focused on Cloud, Web Development, Cybersecurity, Automation organized by Club_7.",Electrical,"Cloud, Web Development, Cybersecurity, Automation",7,Competition,02-10-2025,Main Hall,0.55,241,27-08-2025 00:00
175,Embedded Systems Challenge,"An engaging event focused on Power Systems, 3D Printing, Cybersecurity, AI organized by Club_8.",Mechanical,"Power Systems, 3D Printing, Cybersecurity, AI",8,Workshop,05-12-2025,Civil Seminar Hall,0.8,269,15-08-2025 00:00
176,Cybersecurity Challenge,"An engaging event focused on Automation, IoT, 3D Printing organized by Club_2.",Computer Science,"Automation, IoT, 3D Printing",2,Competition,30-11-2025,Auditorium,0.56,197,29-08-2025 00:00
177,CAD Summit,"An engaging event focused on Power Systems, Cloud, CAD organized by Club_6.",Information Technology,"Power Systems, Cloud, CAD",6,Exhibition,04-12-2025,Main Hall,0.61,193,28-09-2025 00:00
178,Embedded Systems Expo,"An engaging event focused on Robotics, Cybersecurity, Power Systems organized by Club_7.",Civil,"Robotics, Cybersecurity, Power Systems",7,Seminar,30-11-2025,ECE Lab,0.9,102,09-09-2025 00:00
179,Cloud Summit,"An engaging event focused on Machine Learning, Sustainability, CAD, Robotics organized by Club_3.",Civil,"Machine Learning, Sustainability, CAD, Robotics",3,Competition,17-12-2025,ECE Lab,0.75,232,30-09-2025 00:00
180,IoT Expo,"An engaging event focused on 3D Printing, AI organized by Club_1.",Information Technology,"3D Printing, AI",1,Exhibition,15-11-2025,Auditorium,0.84,109,22-09-2025 00:00
181,Machine Learning Hackathon,"An engaging event focused on Embedded Systems, Machine Learning, Automation organized by Club_4.",Computer Science,"Embedded Systems, Machine Learning, Automation",4,Hackathon,29-10-2025,Auditorium,0.74,194,20-09-2025 00:00
182,Sustainability Workshop,"An engaging event focused on Robotics, Power Systems, 3D Printing organized by Club_10.",Mechanical,"Robotics, Power Systems, 3D Printing",10,Competition,30-12-2025,Auditorium,0.53,244,21-09-2025 00:00
183,3D Printing Workshop,"An engaging event focused on Automation, Networking, Machine Learning, 3D Printing organized by Club_1.",Computer Science,"Automation, Networking, Machine Learning, 3D Printing",1,Hackathon,22-10-2025,CSE Hall,0.81,125,28-09-2025 00:00
184,Power Systems Workshop,"An engaging event focused on Power Systems, CAD, 3D Printing organized by Club_8.",Civil,"Power Systems, CAD, 3D Printing",8,Seminar,20-10-2025,Auditorium,0.82,191,22-09-2025 00:00
185,Web Development Challenge,"An engaging event focused on Embedded Systems, Networking, AI organized by Club_4.",Information Technology,"Embedded Systems, Networking, AI",4,Hackathon,13-11-2025,ECE Lab,0.64,107,06-08-2025 00:00
186,Robotics Hackathon,"An engaging event focused on IoT, Sustainability, Networking organized by Club_4.",Civil,"IoT, Sustainability, Networking",4,Competition,23-11-2025,Mechanical Block,0.89,90,21-09-2025 00:00
187,AI Challenge,"An engaging event focused on Web Development, 3D Printing, Sustainability organized by Club_6.",Electrical,"Web Development, 3D Printing, Sustainability",6,Workshop,19-10-2025,Auditorium,0.89,284,30-09-2025 00:00
188,AI Challenge,"An engaging event focused on Embedded Systems, Networking, Robotics organized by Club_7.",Electronics,"Embedded Systems, Networking, Robotics",7,Exhibition,05-10-2025,Auditorium,0.83,97,27-09-2025 00:00
189,Embedded Systems Hackathon,"An engaging event focused on Networking, Sustainability, 3D Printing, Cybersecurity organized by Club_7.",Civil,"Networking, Sustainability, 3D Printing, Cybersecurity",7,Hackathon,08-11-2025,Auditorium,0.86,180,28-09-2025 00:00
190,Sustainability Summit,"An engaging event focused on Automation, Robotics, Power Systems, Embedded Systems organized by Club_8.",Electronics,"Automation, Robotics, Power Systems, Embedded Systems",8,Hackathon,09-12-2025,Main Hall,0.81,246,14-09-2025 00:00
191,3D Printing Expo,"An engaging event focused on Cybersecurity, Machine Learning organized by Club_1.",Electrical,"Cybersecurity, Machine Learning",1,Exhibition,19-11-2025,ECE Lab,0.86,84,03-09-2025 00:00
192,3D Printing Expo,"An engaging event focused on 3D Printing, Web Development organized by Club_5.",Information Technology,"3D Printing, Web Development",5,Exhibition,21-12-2025,Civil Seminar Hall,0.58,34,26-09-2025 00:00
193,Power Systems Challenge,"An engaging event focused on Web Development, Networking organized by Club_5.",Electronics,"Web Development, Networking",5,Hackathon,04-12-2025,ECE Lab,0.56,50,23-09-2025 00:00
194,CAD Expo,"An engaging event focused on IoT, Machine Learning, AI, Sustainability organized by Club_2.",Civil,"IoT, Machine Learning, AI, Sustainability",2,Seminar,13-12-2025,Main Hall,0.87,252,22-08-2025 00:00
195,Cloud Expo,"An engaging event focused on Power Systems, Sustainability, Networking, 3D Printing organized by Club_10.",Mechanical,"Power Systems, Sustainability, Networking, 3D Printing",10,Competition,08-11-2025,Civil Seminar Hall,0.64,91,15-09-2025 00:00
196,Automation Summit,"An engaging event focused on Machine Learning, IoT organized by Club_9.",Civil,"Machine Learning, IoT",9,Competition,16-11-2025,Mechanical Block,0.73,95,15-09-2025 00:00
197,CAD Summit,"An engaging event focused on AI, Embedded Systems organized by Club_3.",Computer Science,"AI, Embedded Systems",3,Exhibition,27-11-2025,Civil Seminar Hall,0.54,289,26-08-2025 00:00
198,Sustainability Challenge,"An engaging event focused on Web Development, Cybersecurity, Automation organized by Club_8.",Mechanical,"Web Development, Cybersecurity, Automation",8,Competition,26-11-2025,CSE Hall,0.84,270,16-09-2025 00:00
199,Power Systems Hackathon,"An engaging event focused on Robotics, CAD, Power Systems, Networking organized by Club_3.",Information Technology,"Robotics, CAD, Power Systems, Networking",3,Competition,07-12-2025,Auditorium,0.56,128,30-08-2025 00:00
200,Automation Challenge,"An engaging event focused on 3D Printing, IoT organized by Club_2.",Civil,"3D Printing, IoT",2,Exhibition,15-10-2025,CSE Hall,0.56,168,03-08-2025 00:00
